index,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
554,ROOFTOP,"2075 Bayview Ave, Toronto, ON M4N 3M5, Canada",ChIJ9etNjizN1IkRJNnFZ2HvTLY,"2075 Bayview Ave, Toronto, Ontario, Canada",43.7206484,-79.3780573,1,M4N 3M5,OK,premise
555,ROOFTOP,"43 Wellesley St E, Toronto, ON M4Y 1H1, Canada",ChIJ4UJhA7M0K4gROxTKBqd5kHk,"43 Wellesley St E - 17E Holland Centre, Toronto, Ontario, Canada",43.6650195,-79.3823361,1,M4Y 1H1,OK,"establishment,health,point_of_interest"
556,ROOFTOP,"101 Humber College Blvd, Etobicoke, ON M9V 1R8, Canada",ChIJbWz_QFE6K4gRfzLhcFbnoHY,"101 Humber College Blvd, Toronto, Ontario, Canada",43.7289986,-79.5975211,1,M9V 1R8,OK,street_address
557,ROOFTOP,"2075 Bayview Ave, Toronto, ON M4N 3M5, Canada",ChIJ9etNjizN1IkRJNnFZ2HvTLY,"2075 Bayview Ave, Toronto, Ontario, Canada",43.7206484,-79.3780573,1,M4N 3M5,OK,premise
558,ROOFTOP,"1 Northwestern Ave, Toronto, ON M6M, Canada",ChIJSbyCaOIzK4gRFktV5MJ_fk0,"1 Northwestern Ave, Toronto, Ontario, Canada",43.698206,-79.4697775,1,M6M,OK,street_address
559,ROOFTOP,"400 The West Mall, Etobicoke, ON M9C 5S1, Canada",ChIJkV02aiQ4K4gRR5mKy2pK8RA,"400 The West Mall, Toronto, Ontario, Canada",43.6438807,-79.5674558,1,M9C 5S1,OK,premise
560,ROOFTOP,"30 The Queensway, Toronto, ON M6R 1B5, Canada",ChIJuVPgpck1K4gRNSC4H4V1O8c,"30 The Queensway, Toronto, Ontario, Canada",43.6405498,-79.4500166,1,M6R 1B5,OK,street_address
561,ROOFTOP,"2311 McNicoll Ave, Scarborough, ON M1V 5L3, Canada",ChIJe2XHjf3T1IkRBPb32GhfoSg,"2311 McNicoll Ave, Toronto, Ontario, Canada",43.8142238,-79.2902139,1,M1V 5L3,OK,street_address
562,ROOFTOP,"1400 Kennedy Rd, Scarborough, ON M1P 2L6, Canada",ChIJRxMRtfLR1IkRvJcyUFNZhOw,"1400 Kennedy Rd, Toronto, Ontario, Canada",43.7626508,-79.2805622,1,M1P 2L6,OK,street_address
563,ROOFTOP,"30 The Queensway, Toronto, ON M6R 1B5, Canada",ChIJuVPgpck1K4gRNSC4H4V1O8c,"30 The Queensway, Toronto, Ontario, Canada",43.6405498,-79.4500166,1,M6R 1B5,OK,street_address
564,ROOFTOP,"4005 Eglinton Ave W, Etobicoke, ON M9A 4L3, Canada",ChIJMyTzzyg3K4gRg7ykewfDHpE,"4005 Eglinton Ave W, Toronto, Ontario, Canada",43.68288,-79.5207358,1,M9A 4L3,OK,premise
565,ROOFTOP,"70 Humberline Dr, Etobicoke, ON M9W 7H3, Canada",ChIJJyCD7qU7K4gRD1zYTeXj0ao,"70 Humberline Dr, Toronto, Ontario, Canada",43.7315963,-79.6174424,1,M9W 7H3,OK,premise
566,ROOFTOP,"399 Bathurst St, Toronto, ON M5T 2S8, Canada",ChIJ1dw0VOg0K4gRjtAfQ_-EOUY,"399 Bathurst St, Toronto, Ontario, Canada",43.6533856,-79.4059423,1,M5T 2S8,OK,premise
567,ROOFTOP,"55 Belmont St, Toronto, ON M5R 1R1, Canada",ChIJFUYOn6g0K4gRGoumA8zlIs8,"55 Belmont St, Toronto, Ontario, Canada",43.6746049,-79.3910664,1,M5R 1R1,OK,street_address
568,ROOFTOP,"101 Humber College Blvd, Etobicoke, ON M9V 1R8, Canada",ChIJbWz_QFE6K4gRfzLhcFbnoHY,"101 Humber College Blvd, Toronto, Ontario, Canada",43.7289986,-79.5975211,1,M9V 1R8,OK,street_address
